,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0,0.527,0.891,7,-1.511,0,0.0724,0.119,0.0,0.208,0.39,127.097,audio_features,3zLCX1TGMpsA67cW2pq6ut,spotify:track:3zLCX1TGMpsA67cW2pq6ut,https://api.spotify.com/v1/tracks/3zLCX1TGMpsA67cW2pq6ut,https://api.spotify.com/v1/audio-analysis/3zLCX1TGMpsA67cW2pq6ut,191147,4,永遠に光れ (Everlasting Shine)
0,0.538,0.506,0,-8.687,1,0.0299,0.43,1.85e-05,0.37,0.428,88.004,audio_features,6HM9odeh1TcxBlkghy69iO,spotify:track:6HM9odeh1TcxBlkghy69iO,https://api.spotify.com/v1/tracks/6HM9odeh1TcxBlkghy69iO,https://api.spotify.com/v1/audio-analysis/6HM9odeh1TcxBlkghy69iO,230146,4,透明
0,0.497,0.947,7,-3.99,1,0.061,0.0351,1.33e-05,0.191,0.302,169.995,audio_features,3nMWM6o4pD6lAkDRPdcqvh,spotify:track:3nMWM6o4pD6lAkDRPdcqvh,https://api.spotify.com/v1/tracks/3nMWM6o4pD6lAkDRPdcqvh,https://api.spotify.com/v1/audio-analysis/3nMWM6o4pD6lAkDRPdcqvh,290813,4,Tiny Light
0,0.477,0.954,5,-2.4,0,0.0729,0.00387,2.39e-06,0.386,0.455,87.434,audio_features,6wOazYrDGLhMAhwU6RArlg,spotify:track:6wOazYrDGLhMAhwU6RArlg,https://api.spotify.com/v1/tracks/6wOazYrDGLhMAhwU6RArlg,https://api.spotify.com/v1/audio-analysis/6wOazYrDGLhMAhwU6RArlg,289274,4,Sing My Pleasure
0,0.649,0.832,5,-6.102,0,0.0388,0.00817,0.0,0.114,0.593,124.027,audio_features,3Cr8kgUv66Gx8sT6g9DJ9n,spotify:track:3Cr8kgUv66Gx8sT6g9DJ9n,https://api.spotify.com/v1/tracks/3Cr8kgUv66Gx8sT6g9DJ9n,https://api.spotify.com/v1/audio-analysis/3Cr8kgUv66Gx8sT6g9DJ9n,261390,4,TWISTED HEARTS
0,0.613,0.604,11,-9.558,1,0.03,0.422,2.7e-05,0.113,0.326,91.01,audio_features,7KvI1c4vmNOwEJlKVH3c6n,spotify:track:7KvI1c4vmNOwEJlKVH3c6n,https://api.spotify.com/v1/tracks/7KvI1c4vmNOwEJlKVH3c6n,https://api.spotify.com/v1/audio-analysis/7KvI1c4vmNOwEJlKVH3c6n,292320,4,A Promise
0,0.413,0.641,8,-4.087,1,0.033,0.138,1.1e-05,0.0859,0.112,143.843,audio_features,0GlejgfH8mrHTcJjqfcw6s,spotify:track:0GlejgfH8mrHTcJjqfcw6s,https://api.spotify.com/v1/tracks/0GlejgfH8mrHTcJjqfcw6s,https://api.spotify.com/v1/audio-analysis/0GlejgfH8mrHTcJjqfcw6s,429467,4,Mother
0,0.479,0.682,9,-4.109,1,0.0385,0.11,0.0,0.1,0.294,76.049,audio_features,2HJHRrQdNhU6c2gPh81t6a,spotify:track:2HJHRrQdNhU6c2gPh81t6a,https://api.spotify.com/v1/tracks/2HJHRrQdNhU6c2gPh81t6a,https://api.spotify.com/v1/audio-analysis/2HJHRrQdNhU6c2gPh81t6a,370387,4,きみのうた
0,0.626,0.758,5,-4.643,0,0.0436,0.0152,0.0,0.14,0.821,130.047,audio_features,2lD8rPegYoYC1WucU3vU1W,spotify:track:2lD8rPegYoYC1WucU3vU1W,https://api.spotify.com/v1/tracks/2lD8rPegYoYC1WucU3vU1W,https://api.spotify.com/v1/audio-analysis/2lD8rPegYoYC1WucU3vU1W,254093,4,ないない
0,0.659,0.911,7,-4.418,1,0.0516,0.0557,0.0,0.112,0.527,129.988,audio_features,3pCc4xUyz0IIOvrwBlGtDW,spotify:track:3pCc4xUyz0IIOvrwBlGtDW,https://api.spotify.com/v1/tracks/3pCc4xUyz0IIOvrwBlGtDW,https://api.spotify.com/v1/audio-analysis/3pCc4xUyz0IIOvrwBlGtDW,311293,4,世界は恋に落ちている
0,0.63,0.538,6,-7.059,1,0.0318,0.0871,0.0,0.0952,0.238,98.012,audio_features,12ZIRTS8x9RBgasDg3q27J,spotify:track:12ZIRTS8x9RBgasDg3q27J,https://api.spotify.com/v1/tracks/12ZIRTS8x9RBgasDg3q27J,https://api.spotify.com/v1/audio-analysis/12ZIRTS8x9RBgasDg3q27J,238667,4,プリズム
0,0.484,0.66,1,-6.127,0,0.0285,0.164,0.0,0.252,0.442,150.103,audio_features,1jRdam0Y2o2vVtvltJK0tH,spotify:track:1jRdam0Y2o2vVtvltJK0tH,https://api.spotify.com/v1/tracks/1jRdam0Y2o2vVtvltJK0tH,https://api.spotify.com/v1/audio-analysis/1jRdam0Y2o2vVtvltJK0tH,231170,4,最後の花弁 (The meaning of love)
